step,time_s,altitude_m,position_x_m,position_y_m,velocity_z_m_s,speed_m_s,fuel_mass_kg,throttle
0,0.0,100.0,0.0,0.0,-10.0,10.0,800.0,0.92038
1,0.02,99.80252,0.0,0.0,-9.874,9.874,799.953981,0.92603710593639
2,0.04,99.60759974889854,0.0,0.0,-9.746012555072886,9.746012555072886,799.9076791447031,0.9317835676412746
3,0.06,99.41527962386516,0.0,0.0,-9.616006251668722,9.616006251668722,799.8610899663211,0.937620797472571
4,0.08,99.22560064030304,0.0,0.0,-9.483949178106236,9.483949178106236,799.8142089264475,0.9435502301843206
5,0.1,99.03860446197045,0.0,0.0,-9.349808916629817,9.349808916629817,799.7670314149383,0.9495733232838098
6,0.12000000000000001,98.85433341126368,0.0,0.0,-9.21355253533856,9.21355253533856,799.719552748774,0.9556915573944438
7,0.14,98.67283047966397,0.0,0.0,-9.075146579985276,9.075146579985276,799.6717681709043,0.9619064366244681
8,0.16,98.4941393383511,0.0,0.0,-8.934557065643322,8.934557065643322,799.6236728490732,0.9682194889416322
9,0.18,98.31830434898632,0.0,0.0,-8.791749468239074,8.791749468239074,799.5752618746261,0.9746322665538931
10,0.19999999999999998,98.14537057466735,0.0,0.0,-8.646688715947842,8.646688715947842,799.5265302612984,0.9811463462962602
11,0.21999999999999997,97.97538379105833,0.0,0.0,-8.499339180450987,8.499339180450987,799.4774729439836,0.9877633300238804
12,0.23999999999999996,97.80839049769729,0.0,0.0,-8.349664668051927,8.349664668051927,799.4280847774824,0.9944848450114661
13,0.25999999999999995,97.64443792948431,0.0,0.0,-8.197628410648754,8.197628410648754,799.3783605352318,1.0
14,0.27999999999999997,97.48356487768594,0.0,0.0,-8.04365258991879,8.04365258991879,799.3283605352318,1.0
15,0.3,97.32577151741538,0.0,0.0,-7.889668013527983,7.889668013527983,799.2783605352319,1.0
16,0.32,97.17105802379461,0.0,0.0,-7.735674681038393,7.735674681038393,799.2283605352319,1.0
17,0.34,97.01942457195437,0.0,0.0,-7.581672592012047,7.581672592012047,799.178360535232,1.0
18,0.36000000000000004,96.87087133703416,0.0,0.0,-7.427661746010936,7.427661746010936,799.128360535232,1.0
19,0.38000000000000006,96.72539849418222,0.0,0.0,-7.273642142597023,7.273642142597023,799.078360535232,1.0
20,0.4000000000000001,96.58300621855557,0.0,0.0,-7.119613781332234,7.119613781332234,799.0283605352321,1.0
21,0.4200000000000001,96.44369468532,0.0,0.0,-6.965576661778464,6.965576661778464,798.9783605352321,1.0
22,0.4400000000000001,96.30746406965005,0.0,0.0,-6.811530783497574,6.811530783497574,798.9283605352322,1.0
23,0.46000000000000013,96.17431454672902,0.0,0.0,-6.657476146051393,6.657476146051393,798.8783605352322,1.0
24,0.48000000000000015,96.04424629174899,0.0,0.0,-6.503412749001718,6.503412749001718,798.8283605352323,1.0
25,0.5000000000000001,95.91725947991078,0.0,0.0,-6.349340591910312,6.349340591910312,798.7783605352323,1.0
26,0.5200000000000001,95.793354286424,0.0,0.0,-6.195259674338904,6.195259674338904,798.7283605352324,1.0
27,0.5400000000000001,95.67253088650702,0.0,0.0,-6.041169995849192,6.041169995849192,798.6783605352324,1.0
28,0.5600000000000002,95.55478945538697,0.0,0.0,-5.88707155600284,5.88707155600284,798.6283605352324,1.0
29,0.5800000000000002,95.44013016829973,0.0,0.0,-5.7329643543614806,5.7329643543614806,798.5783605352325,1.0
30,0.6000000000000002,95.32855320048999,0.0,0.0,-5.578848390486711,5.578848390486711,798.5283605352325,1.0
31,0.6200000000000002,95.2200587272112,0.0,0.0,-5.424723663940099,5.424723663940099,798.4783605352326,1.0
32,0.6400000000000002,95.11464692372553,0.0,0.0,-5.270590174283175,5.270590174283175,798.4283605352326,1.0
33,0.6600000000000003,95.01231796530398,0.0,0.0,-5.11644792107744,5.11644792107744,798.3783605352327,1.0
34,0.6800000000000003,94.91307202722629,0.0,0.0,-4.962296903884361,4.962296903884361,798.3283605352327,1.0
35,0.7000000000000003,94.81690928478099,0.0,0.0,-4.808137122265372,4.808137122265372,798.2783605352328,1.0
36,0.7200000000000003,94.72382991326535,0.0,0.0,-4.6539685757818745,4.6539685757818745,798.2283605352328,1.0
37,0.7400000000000003,94.63383408798545,0.0,0.0,-4.499791263995236,4.499791263995236,798.1783605352329,1.0
38,0.7600000000000003,94.54692198425612,0.0,0.0,-4.345605186466793,4.345605186466793,798.1283605352329,1.0
39,0.7800000000000004,94.46309377740096,0.0,0.0,-4.191410342757846,4.191410342757846,798.078360535233,1.0
